식품명,대분류,소분류,기준량,에너지(kcal),탄수화물(g),단백질(g),지방(g),당류(g),식이섬유(g),나트륨(mg),식품중량
오이장아찌,김치,장아찌·절임류,100ml,71.0,7.71,1.92,3.83,4.03,1.2,1991.0,57.0
오이지무침,서브 반찬2,생채·무침류,100ml,28.0,4.3,0.76,1.09,2.15,1.4,774.0,100.0
오이나물,서브 반찬2,나물·숙채류,100ml,73.0,2.97,1.27,6.42,1.04,0.7,313.0,108.0
오이냉국,국,국 및 탕류,100ml,17.0,3.59,0.57,0.21,2.67,0.4,226.0,160.0
오이무침,서브 반찬2,생채·무침류,100ml,35.0,5.44,1.33,1.28,3.18,1.2,3.0,108.0
오이 도라지 생채,서브 반찬2,생채·무침류,100ml,41.0,8.79,1.3,0.52,3.71,2.0,220.0,130.0
오이 미역냉국,국,국 및 탕류,100ml,13.0,2.91,0.65,0.21,1.84,0.8,338.0,270.0
오이고추 된장무침,서브 반찬2,생채·무침류,100ml,33.0,5.18,1.38,0.91,1.47,1.8,313.0,50.0
오이김치,김치,김치류,100ml,39.0,7.83,2.55,0.29,2.26,2.3,1894.0,100.0
오리탕,국,찌개 및 전골류,100ml,169.0,16.57,8.28,7.57,2.53,1.2,461.0,155.0
오므라이스,밥,밥류,100ml,107.0,18.69,2.88,1.88,1.24,0.9,142.0,531.0
오곡밥,밥,밥류,100ml,166.0,34.21,4.42,0.69,0.22,2.5,230.0,294.0
오리 간장불고기,메인 반찬,구이류,100ml,98.0,6.16,12.56,2.41,2.93,0.6,313.0,180.0
오리고기로스,메인 반찬,구이류,100ml,169.0,0.78,29.66,4.37,0.01,0.3,510.0,42.0
오리백숙,국,찌개 및 전골류,100ml,151.0,13.4,7.54,7.09,0.23,0.7,524.0,270.0
열무나물,서브 반찬2,나물·숙채류,100ml,32.0,4.5,2.52,0.93,1.2,1.9,492.5,110.0
영양돌솥밥,밥,밥류,100ml,131.0,27.9,2.95,0.53,1.42,1.8,25.0,339.0
연두부찜,메인 반찬,찜류,100ml,65.0,3.71,5.08,3.3,1.11,1.1,203.0,158.0
연어구이,메인 반찬,구이류,100ml,138.0,0.2,16.59,7.25,0.0,0.0,850.0,86.0
열무 된장국,국,국 및 탕류,100ml,20.0,2.04,2.08,0.5,0.46,1.0,330.0,320.0
열무 비빔밥,밥,밥류,100ml,89.0,16.86,2.26,1.14,0.61,1.0,112.0,600.0
올갱이해장국,국,국 및 탕류,100ml,41.0,3.54,3.97,1.35,0.77,1.7,342.0,262.0
옥수수밥,밥,밥류,100ml,170.0,36.22,3.52,0.76,0.87,1.7,1.0,215.0
옥수수부침,서브 반찬,전·적 및 부침류,100ml,176.0,22.96,3.0,7.95,2.37,1.9,587.0,130.0
옥수수샐러드,서브 반찬2,생채·무침류,100ml,159.5,11.96,4.49,10.53,3.04,1.75,192.5,121.0
오징어채볶음,메인 반찬,볶음류,100ml,133.0,5.45,14.64,5.78,2.14,0.4,374.0,100.0
